age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
33,housemaid,married,high.school,no,yes,no,cellular,aug,mon,101,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
45,services,married,high.school,no,yes,no,cellular,apr,wed,651,4,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,no
31,unemployed,married,university.degree,no,yes,no,cellular,aug,thu,22,4,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
28,admin.,married,university.degree,no,no,no,cellular,jul,mon,140,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
43,admin.,divorced,basic.9y,no,unknown,unknown,telephone,may,tue,178,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
40,services,divorced,high.school,no,no,yes,cellular,may,thu,632,1,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,no
33,self-employed,single,university.degree,no,no,no,cellular,may,wed,134,2,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
45,technician,divorced,professional.course,no,no,no,cellular,aug,thu,76,1,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
36,self-employed,married,university.degree,no,yes,no,cellular,may,mon,176,1,999,0,nonexistent,-1.8,92.893,-46.2,1.264,5099.1,no
38,technician,married,professional.course,no,yes,no,telephone,may,tue,76,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
31,technician,single,high.school,no,yes,no,cellular,apr,fri,596,1,999,1,failure,-1.8,93.075,-47.1,1.479,5099.1,no
55,admin.,married,professional.course,no,yes,no,cellular,aug,fri,348,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
39,housemaid,married,university.degree,no,yes,no,telephone,may,tue,260,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
38,unemployed,married,high.school,no,no,no,cellular,jul,mon,273,5,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
36,admin.,single,university.degree,no,no,no,telephone,may,mon,12,5,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,no
59,retired,married,professional.course,no,no,no,telephone,dec,tue,476,1,999,1,failure,-3.0,92.713,-33.0,0.715,5023.5,yes
40,blue-collar,married,basic.6y,unknown,yes,no,cellular,nov,thu,142,3,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no
25,management,single,university.degree,no,yes,yes,cellular,jul,fri,114,5,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
40,management,divorced,university.degree,unknown,yes,no,telephone,may,fri,157,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
29,student,single,high.school,no,no,no,cellular,apr,thu,86,1,999,0,nonexistent,-1.8,93.075,-47.1,1.406,5099.1,no
